Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,relPop,relPopEarly,relPopChange,closeMonth,closeYear
dame elisabeth frink,1930,1993,63,0,Small Rolling Horse,1986,USD,68750.0,75000.0,100000.0,1,-1,0,21,MODERN BRITISH AND IRISH ART DAY SALE,,,,11,13
paul klee ,1879,1940,61,0,Physiognomisch nach M.B (Physiognomic after M.B),1925,USD,13281.25,12500.0,18750.0,1,0,(25.3 x 12.9 cm.),07,IMPRESSIONIST/MODERN WORKS ON PAPER,,,,02,13
tom wesselmann ,1931,2004,73,0,Study for Bedroom Painting #3,1968,USD,30000.0,25000.0,35000.0,1,0,(10.5 x 12.7 cm.),17,First Open | Online,,,,07,19
ross bleckner ,1949,0,73,1,Untitled,2004,USD,3750.0,5000.0,7000.0,1,-1,(25.4 x 20.3 cm.),18,First Open | Online,,,,12,19
ghada amer ,1963,0,59,1,Red & White Lovers,2002,USD,90625.0,37500.0,50000.0,1,1,(177.8 x 183cm.),08,POST WAR & CONTEMPORARY ART DAY AUCTION,,,,03,17
emmanuel sougez ,1889,1972,83,0,"Untitled (Flowers in vase), 1930",0,USD,4375.0,8000.0,12000.0,1,-1,(33 x 25.4 cm.),02,THE FACE OF THE CENTURY: PHOTOGRAPHS FROM A PRIVATE COLLECTION,,,,04,19
diana scultori,1536,1588,52,0,The Baptism of Saint Eustace,0,USD,2343.75,2500.0,3750.0,1,-1,0,28,Old Master Prints,,,,01,21
yves tanguy ,1900,1955,55,0,Sans titre,1938,USD,78125.0,62500.0,100000.0,1,0,(7.9 x 24.2 cm.),23,IMPRESSIONIST & MODERN ART WORKS ON PAPER,,,,06,16
pablo picasso ,1881,1973,92,0,Petit carré au soleil (A.R. 631),0,USD,2500.0,700.0,1000.0,1,1,(14.8 x 14.8 cm.),07,Picasso Ceramics,,,,12,20
le corbusier ,1887,1965,78,0,Two prints by the artist,0,USD,8125.0,4000.0,6000.0,1,1,(1095 x 743 mm.),18,A Graphic Century - 1875-1975,,,,11,21
jasper francis cropsey ,1823,1900,77,0,Sunset on Greenwood Lake,1877,USD,271500.0,150000.0,250000.0,1,1,(36.8 x 62.2 cm.),22,AMERICAN ART,,,,11,16
wassily kandinsky ,1866,1944,78,0,Sans titre,1940,USD,495000.0,300000.0,500000.0,1,0,(32.8 x 50.2 cm.),12,IMPRESSIONIST AND MODERN ART WORKS ON PAPER,,,,11,19
berenice abbott ,1898,1991,93,0,"Murlberry and Prince Streets, Manhattan, October 25, 1935",0,USD,12468.75,6300.0,8400.0,1,1,(8 x 10 in.),14,NEW YORK PAR BÉRÉNICE ABBOTT COLLECTION KASPAR M FLEISCHMANN VENDUE AU PROFIT DU CENTRE DE PHOTOGRAPHIE DE L'UNIVERSITÉ DE ZURICH,,,,11,14
sonia delaunay ,1884,1979,95,0,Cercles rouge et vert,0,USD,10500.0,7350.0,9450.0,1,1,0,26,OEUVRES MODERNES SUR PAPIER,,,,03,15
pablo picasso ,1881,1973,92,0,Visage dans étoile (A.R. 30),1947,USD,5000.0,3750.0,6250.0,1,0,0,20,Picasso Ceramics Online,,,,06,19
peter lanyon ,1918,1964,46,0,Landscape and Cup (Annunciation),1946,USD,128125.0,37500.0,62500.0,1,1,(32.6 x 40.3 cm.),21,MODERN | BRITISH & IRISH ART,,,,03,18
sigmar polke ,1941,2010,69,0,Untitled,1986,USD,610937.5,500000.0,750000.0,1,0,(70 x 90cm.),05,POST WAR AND CONTEMPORARY ART DAY AUCTION,,,,10,18
bernard aubertin ,1934,2015,81,0,Sans titre,1969,USD,7218.75,2625.0,3675.0,1,1,0,20,COLLECTION GERARD VALKIER : A LIFETIME JOURNEY WITH ART.,,,,10,21
osvaldo licini ,1894,1958,64,0,Errante,0,USD,63000.0,63000.0,84000.0,1,-1,0,20,COLLECTION GERARD VALKIER : A LIFETIME JOURNEY WITH ART.,,,,10,21
andy warhol ,1928,1987,59,0,Orchids,1983,USD,16250.0,12000.0,18000.0,1,0,(80.6 x 59.7 cm.),15,First Open | Online,,,,12,20
pablo picasso ,1881,1973,92,0,Personnages no. 28,1963,USD,10156.25,3750.0,6250.0,1,1,0,18,PICASSO CERAMICS,,,,06,13
howard hodgkin ,1932,2017,85,0,Night Palm,0,USD,14062.5,8750.0,12500.0,1,1,0,12,Feelings in Colour: The Graphic Art of Howard Hodgkin,,,,04,19
walter leblanc ,1932,1986,54,0,Torsions T.O. 135,1973,USD,54495.0,21000.0,31500.0,1,1,(in artist's frame),05,POST-WAR AND CONTEMPORARY ART,,,,11,14
hendrick hondius i,1573,1650,77,0,The Months of the Year (Hollstein 70-81),70,USD,1250.0,625.0,875.0,1,1,(each),05,"OLD MASTER, DECORATIVE, MODERN & CONTEMPORARY PRINTS INCLUDING AN IMPORTANT PRIVATE COLLECTION BY LILL TSCHUDI",,,,12,12
henri matisse ,1869,1954,85,0,Grand visage,0,USD,20000.0,10000.0,15000.0,1,1,(505 x 343 mm.),23,"Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse, Online",,,,06,21
sir john everett millais. ,1829,1896,67,0,"Portrait of Lady Campbell, née Nina Lehmann",0,USD,602343.75,500000.0,750000.0,1,0,(129.5 x 86 cm.),11,IMPORTANT VICTORIAN & BRITISH IMPRESSIONIST ART,,,,07,13
sir peter markham scott ,1909,1989,80,0,"Garganey ducks, blue-winged teals and northern shovelers",0,USD,3125.0,1875.0,2500.0,1,1,(61 x 50.8 cm.),27,SPORTING & WILDLIFE ART,,,,11,13
fernand léger ,1881,1955,74,0,Femmes aux perroquets,1952,USD,667500.0,300000.0,500000.0,1,1,(81 x 118 cm.),16,IMPRESSIONIST AND MODERN ART DAY SALE,,,,05,17
juan gris ,1887,1927,40,0,Compotier et carafe,0,USD,52500.0,50000.0,70000.0,1,0,(13.9 x 13.5 cm.),08,IMPRESSIONIST AND MODERN WORKS ON PAPER,,,,11,12
mary fedden,1915,2012,97,0,Fez,0,USD,1562.5,1875.0,3125.0,1,-1,(56.2 x 75.9 cm.),24,Modern/British Art Online,,,,11,17
aboudia ,1983,0,39,1,Portrait de Noutchy,2020,USD,10625.0,3000.0,5000.0,1,1,(57.2 x 40.6 cm.),12,ABOUDIA | Noutchy in New York City,,,,03,2021
jon schueler ,1916,1992,76,0,"Red Sky, Red Sea",1960,USD,21250.0,8000.0,12000.0,1,1,(182.2 x 206.4 cm.),17,First Open | Online,,,,07,19
pablo picasso ,1881,1973,92,0,"Compotier, bouteille, guitare devant une fenêtre ouverte",1919,USD,903125.0,750000.0,1000000.0,1,0,(21 x 21 cm.),24,IMPRESSIONIST & MODERN ART DAY SALE,,,,06,15
diego rivera ,1886,1957,71,0,Descansando (Hombre sentado junto a un tronco),1944,USD,277200.0,120000.0,180000.0,1,1,(22.9 x 29.2 cm.),11,LATIN AMERICAN ART,,,,03,22
richmond burton ,1960,0,62,1,Faceted Space (Study),1989,USD,875.0,1500.0,2000.0,1,-1,(27.9 x 19.1 cm.),05,Christie's 100,,,,02,20
andré lhote ,1885,1962,77,0,La négresse ingénue,0,USD,31500.0,31500.0,52500.0,1,-1,0,21,ART MODERNE,,,,10,16
